"","latitude","longitude","propertyTaxRate","garageSpaces","parkingSpaces","yearBuilt","latestPrice","numPriceChanges","numOfPhotos","numOfAccessibilityFeatures","numOfAppliances","numOfParkingFeatures","numOfPatioAndPorchFeatures","numOfSecurityFeatures","numOfWaterfrontFeatures","numOfWindowFeatures","numOfCommunityFeatures","lotSizeSqFt","livingAreaSqFt","numOfPrimarySchools","numOfElementarySchools","numOfMiddleSchools","numOfHighSchools","avgSchoolDistance","avgSchoolRating","avgSchoolSize","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms","numOfStories","city_austin","city_del.valle","city_driftwood","city_manor","city_pflugerville","homeType_Condo","homeType_Multiple.Occupancy","homeType_Single.Family","homeType_Townhouse","homeType_Vacant.Land"
"latitude",1,0.348384101237976,0.447723152068954,0.0187744712827524,0.0185794776087375,-0.114541533210892,0.0712507447163714,0.0159777652782668,0.0448245667656199,-0.0152904663956193,0.00922780726104998,0.14805491310406,-0.021574379179372,-0.0323014750911427,0.0131835617130412,0.0153622336280479,0.000955598323938485,0.00225052930570949,0.107581677760847,-0.0562000138277677,0.130217540348588,-0.0222039777692019,0.136050522611563,-0.0370828007552663,0.259297778733331,0.0735375838455885,-0.0136250020986769,0.057223086191397,0.0757749306434573,0.0479205563097919,0.0656514479007311,-0.105208868711183,-0.0435174424906584,0.00408425851487767,0.0639586170908814,-0.0126141758022994,-0.0267194031023808,0.00548861655174497,0.0344805629689352,-0.00956167080772697
"longitude",0.348384101237976,1,-0.0151108527873518,-0.112261613485291,-0.11205540228596,-0.242957869932345,-0.18238637958813,-0.0540835695717138,-0.11208248766075,0.0181304552145077,-0.0197014140960831,-0.0115995667025127,-0.0887673749179163,-0.0899890838465261,-0.021261642059606,-0.120759181120746,-0.0618882983717919,0.000671596668480299,-0.431836314833648,0.162073571189304,-0.0260718038283666,-0.217170830081346,0.456772841135661,-0.284440271477905,-0.560389316835965,-0.332372818030348,-0.602367194170957,-0.33664431009583,-0.291718545897295,-0.159955636802643,-0.135017587530773,0.137323487001509,-0.0633144324708971,0.0345971435962745,0.0714482627107623,0.0654197366941914,0.0207270727926288,-0.085371856376474,0.0547410911001023,0.00606718688048961
"propertyTaxRate",0.447723152068954,-0.0151108527873518,1,0.0265182170185406,0.0260418793739579,0.115645422027755,-0.0606480505811504,-0.0263819277708799,0.0267743372976939,-0.0185568867085812,0.015584124472756,0.269683028380235,-0.000267473913050238,0.015853619533549,-0.0109248341560782,0.0190176283889204,0.0343818893691541,-0.00221402556064092,0.0853370364979846,0.0251039223611094,-0.0496116108893412,-0.0191918390205814,-0.0373427738032682,-0.0100145482790283,0.187130668431141,0.157318679456925,-0.0188745463081801,0.0657568301631661,0.100448296367594,0.0583568095440697,0.0220100967927529,-0.0212166545173161,0.00826525344916198,-0.0053903102845697,-0.0125374117184586,-0.0420778689595745,-0.0210775530163188,0.0562184031018778,-0.022829933162817,-0.0181991147075269
"garageSpaces",0.0187744712827524,-0.112261613485291,0.0265182170185406,1,0.999635428274386,0.0880600027009867,0.148091669614459,0.118548998060912,0.266596206731691,0.0628051645637749,0.180154001595675,0.647994577853433,0.237373588439319,0.166893830261749,0.0364012720334882,0.0546288618183473,0.0892170935838743,0.0256497031918383,0.21086770847402,-0.0512953233029618,0.0256874882655826,0.043741665111715,-0.0627034158205118,0.0828317260275202,0.0876000901864141,0.0300349069880477,0.056809676216133,0.196806138092932,0.160404850688799,0.0972140564492151,0.0171695861213583,-0.0272370957612783,0.00670918242053349,0.0177520845756838,-0.00137965406086362,-0.0297735549428668,0.0240401202851172,0.0217165606919914,-0.00840291269441643,-0.00973301364128683
"parkingSpaces",0.0185794776087375,-0.11205540228596,0.0260418793739579,0.999635428274386,1,0.0884239141739465,0.14797971978102,0.118241802761235,0.266436921023467,0.0628355613490399,0.179545810835213,0.647914332819251,0.236309961193823,0.166711361771537,0.0364186282603685,0.0543282458128245,0.0850961776686499,0.0256510814219023,0.210719338176472,-0.0508850109907919,0.0257864226958077,0.0433268393727873,-0.0623085186904496,0.0830007289423893,0.0873358298819533,0.0302247603697554,0.0568359953348597,0.196876574116326,0.160357178908185,0.0976432398151793,0.0171192191074629,-0.0271953844489511,0.00672209504964045,0.0177606651586818,-0.00135620867004245,-0.0296809537837034,0.0240773814872235,0.0215944672792624,-0.00834750915400541,-0.0096959582284305
"yearBuilt",-0.114541533210892,-0.242957869932345,0.115645422027755,0.0880600027009867,0.0884239141739465,1,0.0590593996552221,-0.0361589789050352,0.08428990727508,-0.00763304598963058,0.0915432821269796,0.038014292483416,0.0431453246223539,0.149560248210913,-0.0100352764528488,0.0699368902145731,0.0468747379265917,-0.0139146133020441,0.363497646261237,-0.0639999050445137,0.0357237333984174,0.0777674361537324,-0.00937678342084929,0.324171406641151,0.134302919614779,0.29366027758139,0.0964596222329257,0.430129496757618,0.279945282259709,0.375064719198031,-0.096261359113508,0.0699430345500972,0.0345942070214638,0.0120402826142015,0.0574312443666393,0.0680569868004496,-0.0284216756911255,-0.0363858353971245,0.0140236418968205,-0.0403828173683603
"latestPrice",0.0712507447163714,-0.18238637958813,-0.0606480505811504,0.148091669614459,0.14797971978102,0.0590593996552221,1,0.0340623825665285,0.148154195586204,0.0107321895056683,0.0251298147865757,0.0958092116777585,0.0813088930665695,0.0576866481202931,0.134339496419279,0.0568310201863359,-0.00623956934607327,0.0228323683359625,0.613371500643819,-0.167443963656805,0.151038270835047,0.138502563191482,-0.198345819541378,0.0934183720308322,0.287431421224751,0.0825461090669525,0.196386106507642,0.495698409543798,0.290840370853399,0.201860240560541,0.0517395142931706,-0.054490318934465,0.0159363902780168,-0.0054530438507546,-0.0227838427063404,-0.0412164504862881,-0.0125989203187928,0.0292803197460325,-0.0223936425739625,0.0547036221823251
"numPriceChanges",0.0159777652782668,-0.0540835695717138,-0.0263819277708799,0.118548998060912,0.118241802761235,-0.0361589789050352,0.0340623825665285,1,0.111586692451481,-0.0103142502342341,0.06286401737085,0.11548517520578,-0.0218514473707687,-0.0145881562066551,0.0206130122622187,0.00265142940972635,0.0493950507112171,0.000135120995930198,0.122822180502486,-0.0352792248222487,0.0241611933947712,0.0269073497732003,-0.0436851537845009,0.0053447774753601,0.0439739061117512,-0.0208114057932209,0.0477757049849968,0.0980898652371223,0.0904049995341487,0.100101713500256,0.0216595864471034,-0.0150013145766876,-0.0138170673407686,-0.00346597520531866,-0.0103517619047237,-0.0144615058114599,-0.0133819091456515,0.013012791663427,-0.0112599861244873,0.0253553911959264
"numOfPhotos",0.0448245667656199,-0.11208248766075,0.0267743372976939,0.266596206731691,0.266436921023467,0.08428990727508,0.148154195586204,0.111586692451481,1,0.0300851107474806,0.120697122169077,0.227380277172148,0.262028400734204,0.197471729960793,0.0642965793674449,0.111750422138819,0.063343002061349,-0.00340281389975863,0.195260367009848,-0.0394959054068705,0.0162978689298206,0.0255805757766202,-0.0481177001174784,0.0485201992033849,0.115913725827039,0.0727061175451134,0.0971688372743303,0.182765152121931,0.153467983320747,0.104734151880666,0.0233247566271181,-0.0256338286209718,0.0067012005041599,-0.00699297753938524,-0.00623741217224196,-0.0199427225095643,-0.0257200749642949,0.0420244459036134,-0.00231001517377879,-0.052795417055902
"numOfAccessibilityFeatures",-0.0152904663956193,0.0181304552145077,-0.0185568867085812,0.0628051645637749,0.0628355613490399,-0.00763304598963058,0.0107321895056683,-0.0103142502342341,0.0300851107474806,1,0.0110002485803443,0.0373620568621269,0.0933827553456356,0.0667385648851304,-0.00298182418462424,-0.0161740914082571,0.0203405095109755,-0.00071025229457923,-0.0190709769019199,0.00971941718684024,-0.010739899039871,-0.0060625303614383,-0.00136256810580059,-0.00393633773862675,-0.0183156197403771,-0.0154218448480565,-0.0123105513429892,-0.0106755266508083,-0.0232663822551114,-0.0102206057946075,0.00718100275559282,-0.00579087358697745,-0.00197419191858077,-0.00147123126443152,-0.00342196109712914,-0.007900163132948,-0.00575290722393151,0.0094642360926158,0.00056837965991206,-0.0053178701290137
